,PDB,SP
1219,1CZ1,P29717
1220,1CZ3,Q60034
1221,1CZ7,P20480
1222,1CZA,P19367
1223,1CZD,P04525
1224,1CZF,P26214
1225,1CZH,P10340
1226,1CZP,P0A3C8
1227,1CZS,P12259
1228,1CZY,P03230
1229,1CZZ,P25942
1230,1D01,P28908
1231,1D02,P43642
1232,1D06,P10955
1233,1D0A,P43489
1234,1D0B,P0DQD3
1235,1D0C,P29473
1236,1D0E,P03355
1237,1D0G,P50591
1238,1D0I,P15474
1239,1D0J,P20334
1240,1D0K,P41052
1241,1D0N,Q28372
1242,1D0Q,Q9X4D0
1243,1D0S,Q05603
1244,1D0X,P08799
1245,1D1J,P35080
1246,1D1K,P69178
1247,1D1L,P03040
1248,1D1P,P40347
1249,1D1Z,O60880
1250,1D2E,P49410
1251,1D2F,P23256
1252,1D2I,Q45488
1253,1D2K,P0CB51
1254,1D2N,P18708
1255,1D2R,P00953
1256,1D2S,P04278
1257,1D2U,Q94734
1258,1D2Z,Q05652
1259,1D3A,Q07841
1260,1D3B,P14678
1261,1D3E,P05362
1262,1D3G,Q02127
1263,1D3V,P07824
1264,1D3Y,Q57815
1265,1D4A,P15559
1266,1D4C,P83223
1267,1D4M,P21404
1268,1D4O,P11024
1269,1D4X,P0DM41
1270,1D5A,Q7SIG7
1271,1D5F,Q05086
1272,1D5N,P00448
1273,1D5R,P60484
1274,1D5T,P21856
1275,1D5W,P10958
1276,1D5Y,P0ACI0
1277,1D66,P04386
1278,1D6A,P10297
1279,1D6J,Q12657
1280,1D6M,P14294
1281,1D6R,P01055
1282,1D6S,P0A1E3
1283,1D6U,P46883
1284,1D6W,P28511
1285,1D7A,P0AG18
1286,1D7B,Q01738
1287,1D7E,P16113
1288,1D7F,P05618
1289,1D7K,P11926
1290,1D7L,P20586
1291,1D7M,Q54HG2
1292,1D7P,P00451
1293,1D7R,P16932
1294,1D8C,P37330
1295,1D8D,Q04631
1296,1D8H,O13297
1297,1D8S,P0ABB0
1298,1D8T,P0CE47
1299,1D8U,O04986
1300,1D8W,P32170
1301,1D8Y,P00582
1302,1D9C,P07353
1303,1D9E,P0A715
1304,1D9K,P01910
1305,1D9Q,P46275
1306,1D9V,P35755
1307,1D9X,P56981
1308,1DAB,P14283
1309,1DAP,P04964
1310,1DAR,Q5SHN5
1311,1DAW,P28523
1312,1DB1,P11473
1313,1DB3,P0AC88
1314,1DBG,Q46079
1315,1DBH,Q07889
1316,1DBI,Q45670
1317,1DBN,P0DKL3
1318,1DBR,Q26997
1319,1DBT,P25971
1320,1DBU,P45202
1321,1DBV,P00362
1322,1DC1,P70985
1323,1DC3,P0A9B2
1324,1DC9,P02693
1325,1DCE,Q08602
1326,1DCF,P49333
1327,1DCH,P61459
1328,1DCI,Q62651
1329,1DCQ,Q7SIG6
1330,1DCS,P18548
1331,1DCT,P20589
1332,1DD1,Q13485
1333,1DD3,P29396
1334,1DD5,Q9X1B9
1335,1DD6,P52699
1336,1DD7,P29477
1337,1DD8,P0A953
1338,1DD9,P0ABS5
1339,1DDG,P38038
1340,1DDR,P0ABQ4
1341,1DDT,P00588
1342,1DDV,P31424
1343,1DDW,Q9Z214
1344,1DE0,P00459
1345,1DEB,P25054
1346,1DEE,P02976
1347,1DEH,P00325
1348,1DEK,P04531
1349,1DEO,Q00017
1350,1DEQ,P02672
1351,1DEU,Q9UBR2
1352,1DEV,Q15796
1353,1DF0,Q07009
1354,1DF7,P9WNX1
1355,1DF8,P22629
1356,1DFA,P17255
1357,1DFC,Q16658
1358,1DFJ,P10775
1359,1DFN,P59666
1360,1DFO,P0A825
1361,1DFU,P68919
1362,1DFV,P80188
1363,1DFX,P22076
1364,1DG1,P0CE48
1365,1DG3,P32455
1366,1DGB,P04040
1367,1DGL,P08902
1368,1DGM,Q9TVW2
1369,1DGP,Q03471
1370,1DGS,Q9ZHI0
1371,1DH3,Q01147
1372,1DHN,P56740
1373,1DHP,P0A6L2
1374,1DHR,P11348
1375,1DHS,P49366
1376,1DHY,P17297
1377,1DI0,Q2YKV1
1378,1DI2,Q91836
1379,1DI6,P0AF03
1380,1DID,P12070
1381,1DII,P09787
1382,1DIK,P22983
1383,1DIL,P29768
1384,1DIN,P0A115
1385,1DIV,P02417
1386,1DIX,P80022
1387,1DIZ,P04395
1388,1DJ0,P07649
1389,1DJ2,Q96529
1390,1DJ3,O24396
1391,1DJ7,Q55389
1392,1DJG,P10688
1393,1DJL,Q13423
1394,1DJN,P16099
1395,1DJO,P10182
1396,1DJR,P32890
1397,1DJT,P45697
1398,1DK1,P80378
1399,1DK4,Q57573
1400,1DK7,P0A6F5
1401,1DK8,O15169
1402,1DKF,P10276
1403,1DKG,P0A6Y8
1404,1DKI,P0C0J0
1405,1DKL,P07102
1406,1DKR,P14193
1407,1DKS,P61024
1408,1DL2,P32906
1409,1DL3,Q56320
1410,1DL5,Q56308
1411,1DLC,P0A379
1412,1DLE,P00751
1413,1DLF,P01631
1414,1DLG,P33038
1415,1DLI,P0C0F4
1416,1DLM,P07773
1417,1DLU,P07097
1418,1DLW,P15160
1419,1DLY,Q08753
1420,1DM0,Q9FBI2
1421,1DM1,P02210
1422,1DM9,P0ACG8
1423,1DMG,P38516
1424,1DML,P07917
1425,1DMR,Q52675
1426,1DMT,P08473
1427,1DMU,O68557
1428,1DMW,P00439
1429,1DMX,P23589
1430,1DNK,P00639
1431,1DNL,P0AFI7
1432,1DNP,P00914
1433,1DNV,Q90125
1434,1DO0,P0A6H5
1435,1DO5,O14618
1436,1DO6,P82385
1437,1DO8,P23368
1438,1DOH,Q12634
1439,1DOI,P00217
1440,1DOK,P13500
1441,1DOR,A2RJT9
1442,1DOV,P26231
1443,1DP0,P00722
1444,1DP4,P18910
1445,1DP5,P07267
1446,1DP6,P23222
1447,1DP7,P22670
1448,1DPB,P10802
1449,1DPE,P23847
1450,1DPG,P11411
1451,1DPM,P0A434
1452,1DPS,P0ABT2
1453,1DPT,P30046
1454,1DPY,Q9DF52
1455,1DPZ,Q5SIY4
1456,1DQ3,E7FHX6
1457,1DQ7,P60277
1458,1DQ8,P04035
1459,1DQE,P34174
1460,1DQG,Q61830
1461,1DQM,P01863
1462,1DQR,Q9N1E2
1463,1DQS,P07547
1464,1DQT,P09793
1465,1DQU,P28298
1466,1DQV,P40748
1467,1DQW,P03962
1468,1DQY,P9WQN9
1469,1DR1,P00378
1470,1DR9,P33681
1471,1DRT,Q05581
1472,1DRZ,P09012
1473,1DS6,P52566
1474,1DS7,P38489
1475,1DSX,P63142
1476,1DSY,P05696
1477,1DT0,P09223
1478,1DT1,Q5SME3
1479,1DT2,P09332
1480,1DT3,O59952
1481,1DT4,P51513
1482,1DT6,P00179
1483,1DT9,P62495
1484,1DTJ,Q9UNW9
1485,1DTL,P09860
1486,1DTN,P11444
1487,1DTW,P12694
1488,1DTX,P00980
1489,1DTY,P12995
1490,1DTZ,Q9TUM0
1491,1DU0,P02836
1492,1DU5,P33679
1493,1DUB,P14604
1494,1DUC,P11204
1495,1DUD,P06968
1496,1DUG,P02679
1497,1DUL,P0AGD7
1498,1DUR,P00193
1499,1DUS,Q58292
1500,1DUX,P19419
1501,1DV4,P02357
1502,1DV7,O26232
1503,1DV8,P07306
1504,1DVE,P06762
1505,1DVK,P33411
1506,1DVO,P29367
1507,1DVP,Q960X8
1508,1DW0,P81238
1509,1DW9,P00816
1510,1DWA,P29736
1511,1DWB,P28508
1512,1DWN,P03630
1513,1DWO,P52705
1514,1DWU,O52704
1515,1DX9,P0A3E0
1516,1DXE,P23522
1517,1DXH,P08308
1518,1DXI,P37031
1519,1DXL,P31023
1520,1DXM,P16048
1521,1DXP,P26662
1522,1DXQ,Q64669
1523,1DXR,P07173
1524,1DXS,O15350
1525,1DXX,P11532
1526,1DXY,P17584
1527,1DY0,P39061
1528,1DY2,O35206
1529,1DY3,P26281
1530,1DYK,Q60675
1531,1DYL,P03315
1532,1DYN,Q05193
1533,1DYO,P51584
1534,1DYP,P43478
1535,1DYQ,P0A0L2
1536,1DYS,Q7SIG5
1537,1DYT,P12724
1538,1DYW,P52011
1539,1DYZ,P56275
1540,1DZ3,P52934
1541,1DZA,P07998
1542,1DZF,P20434
1543,1DZL,P03101
1544,1DZO,P02973
1545,1DZR,P26394
1546,1DZU,P0AB87
1547,1E0B,P40381
1548,1E0C,P52197
1549,1E0D,P14900
1550,1E0R,P48425
1551,1E0S,P62330
1552,1E0T,P0AD61
1553,1E0V,P26514
1554,1E12,B0R2U4
1555,1E19,P95474
1556,1E1A,Q7SIG4
1557,1E1C,P11652
1558,1E1D,P31101
1559,1E1E,P49235
1560,1E1H,Q45894
1561,1E1O,P0A8N5
1562,1E20,Q9SWE5
1563,1E25,P37321
1564,1E29,Q55013
1565,1E2A,P23532
1566,1E2D,P23919
1567,1E2H,P0DTH5
1568,1E2T,Q00267
1569,1E2X,P0A8V6
1570,1E31,O15392
1571,1E32,Q01853
1572,1E39,P0C278
1573,1E3E,Q9QYY9
1574,1E3G,P10275
1575,1E3H,Q53597
1576,1E3M,P23909
1577,1E3O,P14859
1578,1E3S,O70351
1579,1E3U,P14489
1580,1E3X,P00692
1581,1E42,P63010
1582,1E44,P00646
1583,1E4E,P25051
1584,1E4J,O75015
1585,1E50,Q13951
1586,1E51,P13716
1587,1E54,P24305
1588,1E57,P36351
1589,1E58,P62707
1590,1E5D,Q9F0J6
1591,1E5K,P32173
1592,1E5L,Q9P4R4
1593,1E5M,P73283
1594,1E5O,P11838
1595,1E5P,P09465
1596,1E5R,O09345
1597,1E5T,P23687
1598,1E5W,P26038
1599,1E5X,Q9S7B5
1600,1E6B,Q9ZVQ3
1601,1E6C,P10880
1602,1E6F,P11717
1603,1E6I,Q03330
1604,1E6N,P11797
1605,1E6V,Q49605
1606,1E6Y,P07962
1607,1E79,P05632
1608,1E7D,P13340
1609,1E7K,P55769
1610,1E7N,P62696
1611,1E7P,P17412
1612,1E7U,O02697
1613,1E7W,Q01782
1614,1E7Z,Q12904
1615,1E87,Q07108
1616,1E8A,P80511
1617,1E8C,P22188
1618,1E8O,P49458
1619,1E8T,Q9Q2W5
1620,1E8Y,P48736
1621,1E93,P42321
1622,1E96,P19878
1623,1E9F,P0A720
1624,1E9H,P20248
1625,1E9I,P0A6P9
1626,1E9L,O35744
1627,1E9M,P80306
1628,1E9W,P0C8P8
1629,1E9X,P9WPP9
1630,1E9Y,P69996
1631,1EA0,Q05755
1632,1EA6,P54278
1633,1EA9,Q59226
1634,1EAG,P0CS83
1635,1EAH,P06210
1636,1EAJ,P78310
1637,1EAN,Q03347
1638,1EAR,P50049
1639,1EAV,Q39054
1640,1EAX,Q9Y5Y6
1641,1EAZ,Q9HB21
1642,1EB6,P46076
1643,1EB7,P14532
1644,1EBD,P11959
1645,1EBF,P31116
1646,1EBG,P00924
1647,1EBL,P0A6R0
1648,1EBM,O15527
1649,1EBO,O11457
1650,1EC7,P0AES2
1651,1ECA,P02229
1652,1ECB,P0AG16
1653,1ECE,P54583
1654,1ECM,P0A9J8
1655,1ECR,P16525
1656,1ECS,P13081
1657,1ECW,P05897
1658,1ECY,P23827
1659,1ED3,P05504
1660,1EDG,P17901
1661,1EDH,P09803
1662,1EDM,P00740
1663,1EDN,P05305
1664,1EDO,Q93X62
1665,1EDU,O88339
1666,1EDY,Q63041
1667,1EDZ,Q02046
1668,1EE0,P48391
1669,1EE1,P08164
1670,1EE2,P00328
1671,1EE8,O50606
1672,1EEJ,P0AEG6
1673,1EEM,P78417
1674,1EEP,P49058
1675,1EEQ,P06312
1676,1EF8,P52045
1677,1EFA,P03023
1678,1EFD,P07822
1679,1EFH,Q06520
1680,1EFP,P38974
1681,1EFU,P0A6P1
1682,1EFV,P13804
1683,1EFW,P36419
1684,1EFZ,P28720
1685,1EG0,P0A7J7
1686,1EG1,P07981
1687,1EG2,P14751
1688,1EG4,Q14118
1689,1EG7,P21164
1690,1EG9,P0A110
1691,1EGA,P06616
1692,1EGC,P11310
1693,1EGG,P22897
1694,1EGW,Q02078
1695,1EGY,Q00441
1696,1EGZ,P07103
1697,1EH1,Q9WX76
1698,1EH5,P45478
1699,1EH6,P16455
1700,1EH9,Q55088
1701,1EHI,Q03ZI1
1702,1EHK,Q5SJ79
1703,1EHW,O00746
1704,1EI3,P14448
1705,1EI5,Q9ZBA9
1706,1EI6,Q51782
1707,1EI7,P69687
1708,1EIA,P69732
1709,1EIF,Q58625
1710,1EIX,P08244
1711,1EIY,Q5SGX2
1712,1EIZ,P0C0R7
1713,1EJ1,P63073
1714,1EJ2,O26253
1715,1EJ3,P02592
1716,1EJ4,Q13541
1717,1EJ6,P15024
1718,1EJ7,P00876
1719,1EJ8,P40202
1720,1EJB,P50861
1721,1EJE,O26255
1722,1EJF,Q15185
1723,1EJI,P50431
1724,1EJJ,Q9X519
1725,1EJL,P52293
1726,1EJO,P01660
1727,1EK0,P36017
1728,1EK5,Q14376
1729,1EK8,P0A805
1730,1EK9,P02930
1731,1EKB,P98072
1732,1EKE,Q57599
1733,1EKF,O15382
1734,1EKG,Q16595
1735,1EKJ,P17067
1736,1EKR,P0A738
1737,1EKU,P01579
1738,1EL1,P81708
1739,1EL4,Q27709
1740,1EL5,P40859
1741,1EL6,P10929
1742,1ELJ,P58300
1743,1ELK,O60784
1744,1ELP,P08209
1745,1ELR,P31948
1746,1ELT,Q7SIG3
1747,1ELV,P09871
1748,1EM2,Q14849
1749,1EM6,P06737
1750,1EM7,P06654
1751,1EM8,P28905
1752,1EMD,P61889
1753,1EMI,P0DOY9
1754,1EMR,P15018
1755,1EMS,O76463
1756,1EMY,P02186
1757,1EN2,P11218
1758,1ENF,P0A0M0
1759,1ENI,P04418
1760,1ENV,P03377
1761,1ENX,P36217
1762,1EO2,P20371
1763,1EO6,P60519
1764,1EO8,P03437
1765,1EOK,P36913
1766,1EP0,O27818
1767,1EP1,P54322
1768,1EP5,P05674
1769,1EP7,P80028
1770,1EPA,P06911
1771,1EPF,P13596
1772,1EPS,P0A6D3
1773,1EPW,P10844
1774,1EQ2,P67910
1775,1EQ6,P47123
1776,1EQ7,P69776
1777,1EQ9,Q7SIG2
1778,1EQF,P21675
1779,1EQQ,P0AGE0
1780,1EQW,P0CW86
1781,1EQZ,P02263
1782,1ER8,P01016
1783,1ERB,P18902
1784,1ERJ,P16649
1785,1ERZ,P60327
1786,1ES0,Q05329
1787,1ES2,P39042
1788,1ES6,Q77DJ6
1789,1ES7,P12643
1790,1ESC,P22266
1791,1ESL,P16581
1792,1ESM,P0A6I3
1793,1ESO,P0AGD1
1794,1ESP,P05806
1795,1ESR,P80075
1796,1ET0,P28305
1797,1ET1,P01270
1798,1ET9,P0C0I6
1799,1ETE,P49771
1800,1ETH,P02703
1801,1ETK,P0A6R3
1802,1ETL,P01559
1803,1ETP,Q52369
1804,1EU1,Q57366
1805,1EU8,Q7LYW7
1806,1EUA,P0A955
1807,1EUC,O19069
1808,1EUF,P80219
1809,1EUG,P12295
1810,1EUH,Q59931
1811,1EUI,P14739
1812,1EUM,P0A998
1813,1EUO,Q26241
1814,1EUQ,P00962
1815,1EUR,Q02834
1816,1EUV,Q12306
1817,1EUZ,O74024
1818,1EV1,O91734
1819,1EV4,P00502
1820,1EV7,P50187
1821,1EVH,Q03173
1822,1EVJ,Q07982
1823,1EVK,P0A8M3
1824,1EVS,P13725
1825,1EVU,P00488
1826,1EVY,P90551
1827,1EW2,P05187
1828,1EW3,Q95182
1829,1EW4,P27838
1830,1EWK,P23385
1831,1EWQ,Q56215
1832,1EX2,Q02169
1833,1EX6,P15454
1834,1EX9,P26876
1835,1EXA,P13631
1836,1EXB,P62483
1837,1EXM,P60338
1838,1EXN,P06229
1839,1EXP,P07986
1840,1EXS,P04119
1841,1EXT,P19438
1842,1EXZ,P21583
1843,1EY2,Q93099
1844,1EYE,P9WND1
1845,1EYL,P10822
1846,1EYP,P28012
1847,1EYR,P0A0Z8
1848,1EYT,P80176
1849,1EYU,P23657
1850,1EYV,P9WIV1
1851,1EYX,Q7SIG0
1852,1EYY,Q56694
1853,1EYZ,P33221
1854,1EZ3,P32851
1855,1EZ4,P56511
1856,1EZF,P37268
1857,1EZG,O16119
1858,1EZJ,P04859
1859,1EZM,P14756
1860,1EZR,P83851
1861,1EZV,P07143
1862,1EZW,Q8TXY4
1863,1F00,P19809
1864,1F05,P37837
1865,1F07,Q50744
1866,1F08,P03116
1867,1F0J,Q07343
1868,1F0K,P17443
1869,1F0N,P9WQP1
1870,1F0X,P06149
1871,1F0Y,Q16836
1872,1F15,P69466
1873,1F1C,P82603
1874,1F1F,P00118
1875,1F1H,P0A1P6
1876,1F1J,P55210
1877,1F1M,P0DW54
1878,1F1O,P12047
1879,1F1S,Q53591
1880,1F1W,P00523
1881,1F1Z,P13988
1882,1F20,P29476
1883,1F21,P0A7Y4
1884,1F2D,Q7M523
1885,1F2J,P07752
1886,1F2K,P19984
1887,1F2L,P78423
1888,1F2Q,P12319
1889,1F2S,P10295
1890,1F2T,P58301
1891,1F2V,P21638
1892,1F32,P19400
1893,1F35,Q64288
1894,1F37,O66511
1895,1F38,O26249
1896,1F39,P03034
1897,1F3A,P13745
1898,1F3G,P69783
1899,1F3J,P04228
1900,1F3L,O70467
1901,1F3M,Q13153
1902,1F3O,Q58206
1903,1F3T,P07805
1904,1F3U,P35269
1905,1F3V,Q15628
1906,1F42,P29460
1907,1F45,P29459
1908,1F46,P77173
1909,1F47,P0A9A6
1910,1F48,P08690
1911,1F4L,P00959
1912,1F4O,P28676
1913,1F4T,Q55080
1914,1F51,P06535
1915,1F59,Q14974
1916,1F5A,P25500
1917,1F5M,P36088
1918,1F5O,P02208
1919,1F5S,Q58989
1920,1F5V,P17117
1921,1F5Z,P44539
1922,1F60,P02994
1923,1F61,P9WKK7
1924,1F66,P0C0S5
1925,1F6B,Q9QVY3
1926,1F6D,P27828
1927,1F6F,P16038
1928,1F6L,P01597
1929,1F6M,P0AA25
1930,1F6R,P00711
1931,1F6W,P19835
1932,1F6Y,Q46389
1933,1F75,O82827
1934,1F76,P0A7E1
1935,1F7C,Q5ZMW5
1936,1F7L,P96618
1937,1F7S,Q39250
1938,1F88,P02699
1939,1F89,P49954
1940,1F8A,Q13526
1941,1F8G,Q2RSB2
1942,1F8N,P08170
1943,1F8R,P81382
1944,1F8V,Q9J7Z0
1945,1F8W,P37062
1946,1F8X,Q9R5V5
1947,1F93,P22361
1948,1F94,P81782
1949,1F97,O88792
1950,1F99,P59858
1951,1F9A,Q57961
1952,1F9D,P37698
1953,1F9E,Q14790
1954,1F9F,P06790
1955,1F9M,P09856
1956,1F9N,P17893
1957,1F9P,P02775
1958,1F9Q,P02776
1959,1F9T,P17119
1960,1F9Z,P0AC81
1961,1FA0,P29468
1962,1FA2,P10537
1963,1FAJ,P0A7A9
1964,1FAO,Q9UN19
1965,1FAS,P0C1Y9
1966,1FAT,P05087
1967,1FAW,P01989
1968,1FB0,P07591
1969,1FB1,P30793
1970,1FB5,P84010
1971,1FBA,P07764
1972,1FBL,P21692
1973,1FBM,P35444
1974,1FBN,Q58108
1975,1FBQ,P22121
1976,1FC4,P0AB77
1977,1FC5,P12281
1978,1FC6,O04073
1979,1FCA,P00198
1980,1FCB,P00175
1981,1FCD,Q06529
1982,1FCG,P12318
1983,1FCH,P50542
1984,1FCQ,Q08169
1985,1FD3,O15263
1986,1FD9,Q5ZXE0
1987,1FDJ,P79226
1988,1FDQ,O15540
1989,1FDR,P28861
1990,1FDY,P0A6L4
1991,1FE0,O00244
1992,1FEA,P39040
1993,1FEP,P05825
1994,1FEU,P56930
1995,1FEW,Q9NR28
1996,1FEZ,O31156
1997,1FF3,P0A744
1998,1FF4,P18328
1999,1FFH,O07347
2000,1FFK,P60617
2001,1FFU,P19913
2002,1FFX,P02550
2003,1FFY,P41972
2004,1FG3,P06986
2005,1FG5,P14769
2006,1FGG,O94766
2007,1FGJ,Q50925
2008,1FGL,P05889
2009,1FGS,P15925
2010,1FGU,P27694
2011,1FGX,P08037
2012,1FGY,O08967
2013,1FH0,O60911
2014,1FHA,P02794
2015,1FHE,P31670
2016,1FHG,P56276
2017,1FHI,P49789
2018,1FHJ,P60523
2019,1FHL,P48842
2020,1FHU,P29208
2021,1FI2,P45850
2022,1FI4,P32377
2023,1FIM,P30904
2024,1FIO,P32867
2025,1FIQ,P80457
2026,1FIU,P31032
2027,1FIW,Q9GL10
2028,1FIY,P00864
2029,1FIZ,P08001
2030,1FJ0,P00091
2031,1FJ2,O75608
2032,1FJ3,P00800
2033,1FJG,Q5SHN7
2034,1FJH,P80702
2035,1FJJ,P12994
2036,1FJL,P06601
2037,1FJM,P62139
2038,1FJR,O97148
2039,1FK0,P19656
2040,1FKA,Q5SJ76
2041,1FKK,P18203
2042,1FKM,Q08484
2043,1FKN,P56817
2044,1FKQ,P00712
2045,1FL2,P35340
2046,1FL7,P01225
2047,1FL9,P44492
2048,1FLA,P00322
2049,1FLC,P07975
2050,1FLG,Q9Z4J7
2051,1FLH,P0DJD7
2052,1FLJ,P14141
2053,1FLK,Q13114
2054,1FLM,Q46604
2055,1FLO,P03870
2056,1FLV,P0A3D9
2057,1FM0,P30748
2058,1FM2,Q9L5D6
2059,1FM4,P43185
2060,1FM6,Q15788
2061,1FMB,P32542
2062,1FMD,P15072
2063,1FMI,Q9UKM7
2064,1FMT,P23882
2065,1FN4,P20760
2066,1FN8,P35049
2067,1FN9,P03527
2068,1FNA,P02751
2069,1FNE,P04224
2070,1FNM,P13551
2071,1FNO,P26311
2072,1FNT,P21243
2073,1FNY,Q41159
2074,1FO1,Q9UBU9
2075,1FO6,Q44185
2076,1FO8,P27115
2077,1FOE,P63000
2078,1FOH,P15245
2079,1FOK,P14870
2080,1FON,P05805
2081,1FOT,P06244
2082,1FOU,P04332
2083,1FP1,P93324
2084,1FP2,O24529
2085,1FP3,P17560
2086,1FP4,P07328
2087,1FP5,P01854
2088,1FPO,P0A6L9
2089,1FPR,P29350
2090,1FPS,P08836
2091,1FPZ,Q16667
2092,1FQ3,P10144
2093,1FQI,O46469
2094,1FQJ,P04972
2095,1FQT,P37332
2096,1FQV,P63208
2097,1FQY,P29972
2098,1FR5,P03614
2099,1FRB,P45377
2100,1FRD,P11053
2101,1FRF,P18188
2102,1FRG,P03438
2103,1FRR,P00235
2104,1FRT,P07151
2105,1FRV,P12944
2106,1FS7,Q9S1E5
2107,1FSE,P11470
2108,1FSI,O04147
2109,1FSU,P15848
2110,1FSX,P01966
2111,1FSZ,Q57816
2112,1FTA,P09467
2113,1FTE,P0A2W6
2114,1FTJ,P19491
2115,1FTP,P41496
2116,1FTR,Q49610
2117,1FTS,P10121
2118,1FU0,P07515
2119,1FU1,Q13426
2120,1FUE,Q9ZK53
2121,1FUG,P0A817
2122,1FUI,P69922
2123,1FUJ,P24158
2124,1FUK,P10081
2125,1FUO,P05042
2126,1FUS,P10282
2127,1FUX,P77368
2128,1FVA,P54149
2129,1FVP,P12745
2130,1FVR,Q02763
2131,1FVU,P22029
2132,1FW1,O43708
2133,1FW2,P0A921
2134,1FW8,P00560
2135,1FW9,P26602
2136,1FWK,Q58504
2137,1FWN,O66496
2138,1FWX,Q51705
2139,1FWY,P0ACC7
2140,1FX0,P06450
2141,1FX2,Q99279
2142,1FX3,P44853
2143,1FX4,Q99280
2144,1FX5,P22972
2145,1FX8,P0AER0
2146,1FX9,P00592
2147,1FXA,P0A3C7
2148,1FXD,P00209
2149,1FXI,P00250
2150,1FXK,O27646
2151,1FXL,P26378
2152,1FXR,P00210
2153,1FXW,P68401
2154,1FXX,P04995
2155,1FXZ,P04776
2156,1FY2,P36936
2157,1FY7,Q08649
2158,1FYV,Q15399
2159,1FYW,O60603
2160,1FYZ,P22869
2161,1FZQ,Q9WUL7
2162,1FZR,P00641
2163,1FZV,P49763
2164,1FZY,P21734
2165,1G01,P19424
2166,1G0B,P01958
2167,1G0D,P52181
2168,1G0S,Q93K97
2169,1G0W,Q9XSC6
2170,1G0X,Q8NHL6
2171,1G0Y,P14778
2172,1G0Z,Q6SLM1
2173,1G12,P81054
2174,1G13,P17900
2175,1G16,P07560
2176,1G18,P9WHJ3
2177,1G1A,P26391
2178,1G1C,Q8WZ42
2179,1G1I,P04512
2180,1G1Q,P16109
2181,1G24,P15879
2182,1G29,Q9YGA6
2183,1G2C,P11209
2184,1G2I,O59413
2185,1G2O,P9WP01
2186,1G2P,P49435
2187,1G2X,Q6SLM0
2188,1G30,P28506
2189,1G31,P17313
2190,1G33,P02625
2191,1G3I,P43773
2192,1G3J,P35222
2193,1G3K,P43772
2194,1G3M,P49888
2195,1G3P,P69168
2196,1G3U,P9WKE1
2197,1G4E,P39594
2198,1G4M,P17870
2199,1G4W,P74873
2200,1G4Y,P0DP29
2201,1G55,O14717
2202,1G57,P0A7J0
2203,1G59,P27000
2204,1G5A,Q9ZEU2
2205,1G5B,P03772
2206,1G5G,P35936
2207,1G5H,Q9QZM2
2208,1G5Q,P30197
2209,1G5R,P31570
2210,1G5U,Q9LEI8
2211,1G60,P23192
2212,1G61,Q60357
2213,1G62,Q12522
2214,1G68,P16897
2215,1G6G,P22216
2216,1G6H,Q58663
2217,1G6K,P40288
2218,1G6Q,P38074
2219,1G6V,P00921
2220,1G6W,P23202
2221,1G71,Q9P9H1
2222,1G72,P38539
2223,1G7K,Q9U6Y8
2224,1G7R,O26359
2225,1G7Y,P19588
2226,1G82,P31371
2227,1G85,P07435
2228,1G86,Q05315
2229,1G87,P37700
2230,1G8A,O57811
2231,1G8E,P0A8S9
2232,1G8F,P08536
2233,1G8I,P62166
2234,1G8J,Q7SIF4
2235,1G8M,P31335
2236,1G8P,P26239
2237,1G8Q,P60033
2238,1G8T,P13717
2239,1G8X,P05095
2240,1G8Y,P20356
2241,1G95,Q97R46
2242,1G96,P01034
2243,1G99,P38502
2244,1G9F,P05046
2245,1G9I,P01062
2246,1G9O,O14745
2247,1G9S,P0A9M2
2248,1G9U,P17778
2249,1GA1,P42790
2250,1GAG,P06213
2251,1GAQ,P27787
2252,1GAV,P07234
2253,1GAX,P96142
2254,1GBG,P27051
2255,1GBN,P04181
2256,1GBS,P00717
2257,1GC0,P13254
2258,1GC5,Q7M537
2259,1GC6,P26043
2260,1GCA,P23905
2261,1GCJ,P70168
2262,1GCN,P01274
2263,1GCP,P27870
2264,1GCU,P46844
2265,1GCV,Q9YGW2
2266,1GCY,P13507
2267,1GD2,Q01663
2268,1GD6,P48816
2269,1GD8,Q9Z9H5
2270,1GDH,P36234
2271,1GDI,P02240
2272,1GDR,P03012
2273,1GDV,Q8WKJ8
2274,1GE8,O73947
2275,1GEC,P05994
2276,1GEF,E7FHX4
2277,1GEG,Q48436
2278,1GEH,O93627
2279,1GEQ,Q8U094
2280,1GER,P06715
2281,1GFF,P03642
2282,1GG1,P0AB91
2283,1GG3,P11171
2284,1GG4,P11880
2285,1GGG,P0AEQ3
2286,1GGL,P82980
2287,1GGQ,Q07337
2288,1GGV,P0A114
2289,1GGZ,P27482
2290,1GH0,P72509
2291,1GH2,O43396
2292,1GH6,P03070
2293,1GH7,P32927
2294,1GHE,P16966
2295,1GHL,P00702
2296,1GHS,P15737
2297,1GIK,P23339
2298,1GIS,P09989
2299,1GJI,P16236
2300,1GJO,P21802
2301,1GJV,Q00972
2302,1GJY,P05044
2303,1GK0,P07662
2304,1GK4,P08670
2305,1GK8,P00877
2306,1GKA,P58989
2307,1GKC,P14780
2308,1GKE,P02767
2309,1GKR,P81006
2310,1GKU,O29238
2311,1GL2,O70439
2312,1GL4,P10493
2313,1GLG,P0AEE5
2314,1GLO,P25774
2315,1GLU,P06536
2316,1GLV,P04425
2317,1GM6,P81608
2318,1GME,Q41560
2319,1GMI,P09216
2320,1GMJ,P01096
